tripID,description,feature
518,10,Total Cargo Weight:
518,33,Tire Pressure:
518,23.38,Frontal Area of Car:
328,65,Outside Temperature:
328,155,Total Passenger Weight:
328,15,Total Cargo Weight:
328,33,Tire Pressure:
328,29.28,Frontal Area of Car:
528,54,Outside Temperature:
528,215,Total Passenger Weight:
528,10,Total Cargo Weight:
528,33,Tire Pressure:
528,23.38,Frontal Area of Car:
450,72,Outside Temperature:
450,215,Total Passenger Weight:
450,10,Total Cargo Weight:
450,33,Tire Pressure:
450,23.38,Frontal Area of Car:
515,57,Outside Temperature:
515,215,Total Passenger Weight:
515,10,Total Cargo Weight:
515,33,Tire Pressure:
515,23.38,Frontal Area of Car:
451,53,Outside Temperature:
451,215,Total Passenger Weight:
451,10,Total Cargo Weight:
451,33,Tire Pressure:
451,23.38,Frontal Area of Car:
517,64,Outside Temperature:
517,215,Total Passenger Weight:
517,10,Total Cargo Weight:
517,33,Tire Pressure:
517,23.38,Frontal Area of Car:
526,44,Outside Temperature:
526,215,Total Passenger Weight:
526,10,Total Cargo Weight:
526,33,Tire Pressure:
526,23.38,Frontal Area of Car:
413,59,Outside Temperature:
413,215,Total Passenger Weight:
413,10,Total Cargo Weight:
413,33,Tire Pressure:
413,23.38,Frontal Area of Car:
524,53,Outside Temperature:
524,215,Total Passenger Weight:
524,10,Total Cargo Weight:
524,33,Tire Pressure:
524,23.38,Frontal Area of Car:
412,54,Outside Temperature:
412,215,Total Passenger Weight:
412,10,Total Cargo Weight:
412,33,Tire Pressure:
412,23.38,Frontal Area of Car:
414,48,Outside Temperature:
414,215,Total Passenger Weight:
414,10,Total Cargo Weight:
414,33,Tire Pressure:
414,23.38,Frontal Area of Car:
591,57,Outside Temperature:
591,230,Total Passenger Weight:
591,0,Total Cargo Weight:
591,missing,Tire Pressure:
591,29.28,Frontal Area of Car:
465,70,Outside Temperature:
465,200,Total Passenger Weight:
465,10,Total Cargo Weight:
465,missing,Tire Pressure:
465,28.63,Frontal Area of Car:
392,58,Outside Temperature:
392,215,Total Passenger Weight:
392,10,Total Cargo Weight:
392,29,Tire Pressure:
392,23.38,Frontal Area of Car:
692,70,Outside Temperature:
692,170,Total Passenger Weight:
692,0,Total Cargo Weight:
692,missing,Tire Pressure:
692,28.63,Frontal Area of Car:
466,70,Outside Temperature:
466,200,Total Passenger Weight:
466,10,Total Cargo Weight:
466,missing,Tire Pressure:
466,28.63,Frontal Area of Car:
464,70,Outside Temperature:
464,200,Total Passenger Weight:
464,10,Total Cargo Weight:
464,missing,Tire Pressure:
464,28.63,Frontal Area of Car:
691,60,Outside Temperature:
691,170,Total Passenger Weight:
691,0,Total Cargo Weight:
691,33,Tire Pressure:
691,28.63,Frontal Area of Car:
571,47,Outside Temperature:
571,176,Total Passenger Weight:
571,13,Total Cargo Weight:
571,missing,Tire Pressure:
571,29.28,Frontal Area of Car:
589,50,Outside Temperature:
589,310,Total Passenger Weight:
589,0,Total Cargo Weight:
589,missing,Tire Pressure:
589,29.28,Frontal Area of Car:
594,51,Outside Temperature:
594,155,Total Passenger Weight:
594,10,Total Cargo Weight:
594,missing,Tire Pressure:
594,26.91,Frontal Area of Car:
595,52,Outside Temperature:
595,155,Total Passenger Weight:
595,10,Total Cargo Weight:
595,missing,Tire Pressure:
595,26.91,Frontal Area of Car:
588,55,Outside Temperature:
588,190,Total Passenger Weight:
588,0,Total Cargo Weight:
588,missing,Tire Pressure:
588,29.28,Frontal Area of Car:
560,57,Outside Temperature:
560,200,Total Passenger Weight:
560,25,Total Cargo Weight:
560,missing,Tire Pressure:
560,29.28,Frontal Area of Car:
596,51,Outside Temperature:
596,155,Total Passenger Weight:
596,10,Total Cargo Weight:
596,missing,Tire Pressure:
596,26.91,Frontal Area of Car:
559,45,Outside Temperature:
559,200,Total Passenger Weight:
559,25,Total Cargo Weight:
559,missing,Tire Pressure:
559,29.28,Frontal Area of Car:
570,50,Outside Temperature:
570,140,Total Passenger Weight:
570,7,Total Cargo Weight:
570,missing,Tire Pressure:
570,29.28,Frontal Area of Car:
557,42,Outside Temperature:
557,212,Total Passenger Weight:
557,25,Total Cargo Weight:
557,missing,Tire Pressure:
557,29.28,Frontal Area of Car:
564,44,Outside Temperature:
564,290,Total Passenger Weight:
564,5,Total Cargo Weight:
564,missing,Tire Pressure:
564,29.28,Frontal Area of Car:
562,42,Outside Temperature:
562,290,Total Passenger Weight:
562,5,Total Cargo Weight:
562,missing,Tire Pressure:
562,29.28,Frontal Area of Car:
677,40,Outside Temperature:
677,190,Total Passenger Weight:
677,15,Total Cargo Weight:
677,45,Tire Pressure:
677,29.28,Frontal Area of Car:
563,45,Outside Temperature:
563,290,Total Passenger Weight:
563,12,Total Cargo Weight:
563,missing,Tire Pressure:
563,29.28,Frontal Area of Car:
590,50,Outside Temperature:
590,190,Total Passenger Weight:
590,0,Total Cargo Weight:
590,missing,Tire Pressure:
590,29.28,Frontal Area of Car:
529,62,Outside Temperature:
529,215,Total Passenger Weight:
529,10,Total Cargo Weight:
529,33,Tire Pressure:
529,23.38,Frontal Area of Car:
525,66,Outside Temperature:
525,215,Total Passenger Weight:
525,10,Total Cargo Weight:
525,33,Tire Pressure:
525,23.38,Frontal Area of Car:
561,39,Outside Temperature:
561,290,Total Passenger Weight:
561,3,Total Cargo Weight:
561,missing,Tire Pressure:
561,29.28,Frontal Area of Car:
523,52,Outside Temperature:
523,215,Total Passenger Weight:
523,10,Total Cargo Weight:
523,33,Tire Pressure:
523,23.38,Frontal Area of Car:
449,57,Outside Temperature:
449,215,Total Passenger Weight:
449,10,Total Cargo Weight:
449,33,Tire Pressure:
449,23.38,Frontal Area of Car:
572,55,Outside Temperature:
572,140,Total Passenger Weight:
572,21,Total Cargo Weight:
572,missing,Tire Pressure:
572,29.28,Frontal Area of Car:
621,52,Outside Temperature:
621,155,Total Passenger Weight:
621,0,Total Cargo Weight:
621,missing,Tire Pressure:
621,26.91,Frontal Area of Car:
593,24,Outside Temperature:
593,147,Total Passenger Weight:
593,0,Total Cargo Weight:
593,missing,Tire Pressure:
593,37.57,Frontal Area of Car:
598,33,Outside Temperature:
598,147,Total Passenger Weight:
598,0,Total Cargo Weight:
598,missing,Tire Pressure:
598,26.91,Frontal Area of Car:
597,33,Outside Temperature:
597,147,Total Passenger Weight:
597,0,Total Cargo Weight:
597,missing,Tire Pressure:
597,35.01,Frontal Area of Car:
592,24,Outside Temperature:
592,147,Total Passenger Weight:
592,0,Total Cargo Weight:
592,missing,Tire Pressure:
592,26.91,Frontal Area of Car:
655,64,Outside Temperature:
655,280,Total Passenger Weight:
655,10,Total Cargo Weight:
655,35,Tire Pressure:
655,18.3,Frontal Area of Car:
622,48,Outside Temperature:
622,150,Total Passenger Weight:
622,0,Total Cargo Weight:
622,missing,Tire Pressure:
622,37.57,Frontal Area of Car:
620,52,Outside Temperature:
620,155,Total Passenger Weight:
620,0,Total Cargo Weight:
620,missing,Tire Pressure:
620,26.91,Frontal Area of Car:
611,50,Outside Temperature:
611,146,Total Passenger Weight:
611,40,Total Cargo Weight:
611,29,Tire Pressure:
611,30.03,Frontal Area of Car:
457,50,Outside Temperature:
457,320,Total Passenger Weight:
457,0,Total Cargo Weight:
457,32,Tire Pressure:
457,26.91,Frontal Area of Car:
667,60,Outside Temperature:
667,200,Total Passenger Weight:
667,300,Total Cargo Weight:
667,40,Tire Pressure:
667,37.57,Frontal Area of Car:
379,43,Outside Temperature:
379,150,Total Passenger Weight:
379,10,Total Cargo Weight:
379,32,Tire Pressure:
379,26.91,Frontal Area of Car:
423,58,Outside Temperature:
423,150,Total Passenger Weight:
423,30,Total Cargo Weight:
423,32,Tire Pressure:
423,26.91,Frontal Area of Car:
431,40,Outside Temperature:
431,150,Total Passenger Weight:
431,10,Total Cargo Weight:
431,32,Tire Pressure:
431,26.91,Frontal Area of Car:
639,80,Outside Temperature:
639,350,Total Passenger Weight:
639,50,Total Cargo Weight:
639,32,Tire Pressure:
639,28.63,Frontal Area of Car:
459,50,Outside Temperature:
459,320,Total Passenger Weight:
459,0,Total Cargo Weight:
459,32,Tire Pressure:
459,26.91,Frontal Area of Car:
456,50,Outside Temperature:
456,320,Total Passenger Weight:
456,0,Total Cargo Weight:
456,32,Tire Pressure:
456,26.91,Frontal Area of Car:
458,50,Outside Temperature:
458,320,Total Passenger Weight:
458,0,Total Cargo Weight:
458,32,Tire Pressure:
458,26.91,Frontal Area of Car:
462,50,Outside Temperature:
462,320,Total Passenger Weight:
462,0,Total Cargo Weight:
462,32,Tire Pressure:
462,26.91,Frontal Area of Car:
212,45,Outside Temperature:
212,201,Total Passenger Weight:
212,10,Total Cargo Weight:
212,30,Tire Pressure:
212,29.28,Frontal Area of Car:
432,40,Outside Temperature:
432,150,Total Passenger Weight:
432,10,Total Cargo Weight:
432,32,Tire Pressure:
432,26.91,Frontal Area of Car:
463,50,Outside Temperature:
463,320,Total Passenger Weight:
463,0,Total Cargo Weight:
463,32,Tire Pressure:
463,26.91,Frontal Area of Car:
428,52,Outside Temperature:
428,150,Total Passenger Weight:
428,10,Total Cargo Weight:
428,32,Tire Pressure:
428,26.91,Frontal Area of Car:
200,75,Outside Temperature:
200,180,Total Passenger Weight:
200,10,Total Cargo Weight:
200,38,Tire Pressure:
200,26.91,Frontal Area of Car:
427,52,Outside Temperature:
427,150,Total Passenger Weight:
427,10,Total Cargo Weight:
427,32,Tire Pressure:
427,26.91,Frontal Area of Car:
422,58,Outside Temperature:
422,150,Total Passenger Weight:
422,30,Total Cargo Weight:
422,32,Tire Pressure:
422,26.91,Frontal Area of Car:
420,58,Outside Temperature:
420,150,Total Passenger Weight:
420,30,Total Cargo Weight:
420,32,Tire Pressure:
420,26.91,Frontal Area of Car:
42,55,Outside Temperature:
42,150,Total Passenger Weight:
42,150,Total Cargo Weight:
42,missing,Tire Pressure:
42,27.69,Frontal Area of Car:
688,60,Outside Temperature:
688,400,Total Passenger Weight:
688,0,Total Cargo Weight:
688,20,Tire Pressure:
688,29.28,Frontal Area of Car:
455,42,Outside Temperature:
455,143,Total Passenger Weight:
455,5,Total Cargo Weight:
455,missing,Tire Pressure:
455,29.28,Frontal Area of Car:
30,57,Outside Temperature:
30,150,Total Passenger Weight:
30,100,Total Cargo Weight:
30,missing,Tire Pressure:
30,28.63,Frontal Area of Car:
29,53,Outside Temperature:
29,150,Total Passenger Weight:
29,100,Total Cargo Weight:
29,missing,Tire Pressure:
29,28.63,Frontal Area of Car:
440,50,Outside Temperature:
440,150,Total Passenger Weight:
440,10,Total Cargo Weight:
440,32,Tire Pressure:
440,26.91,Frontal Area of Car:
683,60,Outside Temperature:
683,400,Total Passenger Weight:
683,0,Total Cargo Weight:
683,20,Tire Pressure:
683,29.28,Frontal Area of Car:
670,40,Outside Temperature:
670,200,Total Passenger Weight:
670,500,Total Cargo Weight:
670,40,Tire Pressure:
670,37.57,Frontal Area of Car:
641,75,Outside Temperature:
641,165,Total Passenger Weight:
641,40,Total Cargo Weight:
641,50,Tire Pressure:
641,41.87,Frontal Area of Car:
674,30,Outside Temperature:
674,220,Total Passenger Weight:
674,300,Total Cargo Weight:
674,40,Tire Pressure:
674,37.57,Frontal Area of Car:
8,74,Outside Temperature:
8,150,Total Passenger Weight:
8,100,Total Cargo Weight:
8,44,Tire Pressure:
8,26.81,Frontal Area of Car:
461,50,Outside Temperature:
461,320,Total Passenger Weight:
461,0,Total Cargo Weight:
461,32,Tire Pressure:
461,26.91,Frontal Area of Car:
53,62,Outside Temperature:
53,150,Total Passenger Weight:
53,150,Total Cargo Weight:
53,missing,Tire Pressure:
53,27.69,Frontal Area of Car:
23,51,Outside Temperature:
23,150,Total Passenger Weight:
23,100,Total Cargo Weight:
23,missing,Tire Pressure:
23,28.63,Frontal Area of Car:
470,48,Outside Temperature:
470,320,Total Passenger Weight:
470,5,Total Cargo Weight:
470,32,Tire Pressure:
470,26.91,Frontal Area of Car:
640,80,Outside Temperature:
640,250,Total Passenger Weight:
640,100,Total Cargo Weight:
640,32,Tire Pressure:
640,28.63,Frontal Area of Car:
37,50,Outside Temperature:
37,150,Total Passenger Weight:
37,150,Total Cargo Weight:
37,missing,Tire Pressure:
37,27.69,Frontal Area of Car:
32,59,Outside Temperature:
32,150,Total Passenger Weight:
32,100,Total Cargo Weight:
32,missing,Tire Pressure:
32,28.63,Frontal Area of Car:
429,54,Outside Temperature:
429,150,Total Passenger Weight:
429,10,Total Cargo Weight:
429,32,Tire Pressure:
429,26.91,Frontal Area of Car:
682,60,Outside Temperature:
682,400,Total Passenger Weight:
682,0,Total Cargo Weight:
682,20,Tire Pressure:
682,29.28,Frontal Area of Car:
668,60,Outside Temperature:
668,220,Total Passenger Weight:
668,300,Total Cargo Weight:
668,40,Tire Pressure:
668,37.57,Frontal Area of Car:
421,58,Outside Temperature:
421,150,Total Passenger Weight:
421,30,Total Cargo Weight:
421,32,Tire Pressure:
421,26.91,Frontal Area of Car:
31,57,Outside Temperature:
31,150,Total Passenger Weight:
31,100,Total Cargo Weight:
31,missing,Tire Pressure:
31,28.63,Frontal Area of Car:
25,52,Outside Temperature:
25,150,Total Passenger Weight:
25,100,Total Cargo Weight:
25,missing,Tire Pressure:
25,28.63,Frontal Area of Car:
665,60,Outside Temperature:
665,200,Total Passenger Weight:
665,300,Total Cargo Weight:
665,40,Tire Pressure:
665,37.57,Frontal Area of Car:
629,75,Outside Temperature:
629,135,Total Passenger Weight:
629,0,Total Cargo Weight:
629,30,Tire Pressure:
629,26.91,Frontal Area of Car:
686,60,Outside Temperature:
686,400,Total Passenger Weight:
686,0,Total Cargo Weight:
686,20,Tire Pressure:
686,29.28,Frontal Area of Car:
22,52,Outside Temperature:
22,150,Total Passenger Weight:
22,100,Total Cargo Weight:
22,missing,Tire Pressure:
22,28.63,Frontal Area of Car:
47,58,Outside Temperature:
47,150,Total Passenger Weight:
47,150,Total Cargo Weight:
47,missing,Tire Pressure:
47,27.69,Frontal Area of Car:
41,55,Outside Temperature:
41,150,Total Passenger Weight:
41,150,Total Cargo Weight:
41,missing,Tire Pressure:
41,27.69,Frontal Area of Car:
27,50,Outside Temperature:
27,150,Total Passenger Weight:
27,100,Total Cargo Weight:
27,missing,Tire Pressure:
27,28.63,Frontal Area of Car:
84,80,Outside Temperature:
84,400,Total Passenger Weight:
84,0,Total Cargo Weight:
84,40,Tire Pressure:
84,29.28,Frontal Area of Car:
632,78,Outside Temperature:
632,135,Total Passenger Weight:
632,0,Total Cargo Weight:
632,30,Tire Pressure:
632,26.91,Frontal Area of Car:
50,60,Outside Temperature:
50,150,Total Passenger Weight:
50,150,Total Cargo Weight:
50,missing,Tire Pressure:
50,27.69,Frontal Area of Car:
9,74,Outside Temperature:
9,150,Total Passenger Weight:
9,100,Total Cargo Weight:
9,44,Tire Pressure:
9,26.81,Frontal Area of Car:
669,40,Outside Temperature:
669,200,Total Passenger Weight:
669,500,Total Cargo Weight:
669,40,Tire Pressure:
669,37.57,Frontal Area of Car:
128,60,Outside Temperature:
128,550,Total Passenger Weight:
128,300,Total Cargo Weight:
128,40,Tire Pressure:
128,30.03,Frontal Area of Car:
672,60,Outside Temperature:
672,220,Total Passenger Weight:
672,300,Total Cargo Weight:
672,40,Tire Pressure:
672,37.57,Frontal Area of Car:
35,59,Outside Temperature:
35,150,Total Passenger Weight:
35,100,Total Cargo Weight:
35,missing,Tire Pressure:
35,28.63,Frontal Area of Car:
681,60,Outside Temperature:
681,400,Total Passenger Weight:
681,0,Total Cargo Weight:
681,20,Tire Pressure:
681,29.28,Frontal Area of Car:
664,60,Outside Temperature:
664,220,Total Passenger Weight:
664,300,Total Cargo Weight:
664,40,Tire Pressure:
664,37.57,Frontal Area of Car:
21,50,Outside Temperature:
21,150,Total Passenger Weight:
21,100,Total Cargo Weight:
21,missing,Tire Pressure:
21,28.63,Frontal Area of Car:
44,58,Outside Temperature:
44,150,Total Passenger Weight:
44,150,Total Cargo Weight:
44,missing,Tire Pressure:
44,27.69,Frontal Area of Car:
687,60,Outside Temperature:
687,400,Total Passenger Weight:
687,0,Total Cargo Weight:
687,20,Tire Pressure:
687,29.28,Frontal Area of Car:
33,59,Outside Temperature:
33,150,Total Passenger Weight:
33,100,Total Cargo Weight:
33,missing,Tire Pressure:
33,28.63,Frontal Area of Car:
619,42,Outside Temperature:
619,180,Total Passenger Weight:
619,50,Total Cargo Weight:
619,missing,Tire Pressure:
619,26.91,Frontal Area of Car:
85,85,Outside Temperature:
85,400,Total Passenger Weight:
85,0,Total Cargo Weight:
85,40,Tire Pressure:
85,29.28,Frontal Area of Car:
671,60,Outside Temperature:
671,200,Total Passenger Weight:
671,300,Total Cargo Weight:
671,40,Tire Pressure:
671,37.57,Frontal Area of Car:
442,50,Outside Temperature:
442,150,Total Passenger Weight:
442,10,Total Cargo Weight:
442,32,Tire Pressure:
442,26.91,Frontal Area of Car:
522,45,Outside Temperature:
522,400,Total Passenger Weight:
522,0,Total Cargo Weight:
522,missing,Tire Pressure:
522,29.28,Frontal Area of Car:
633,78,Outside Temperature:
633,135,Total Passenger Weight:
633,0,Total Cargo Weight:
633,30,Tire Pressure:
633,26.91,Frontal Area of Car:
26,50,Outside Temperature:
26,150,Total Passenger Weight:
26,100,Total Cargo Weight:
26,missing,Tire Pressure:
26,28.63,Frontal Area of Car:
689,60,Outside Temperature:
689,400,Total Passenger Weight:
689,0,Total Cargo Weight:
689,20,Tire Pressure:
689,29.28,Frontal Area of Car:
435,60,Outside Temperature:
435,375,Total Passenger Weight:
435,0,Total Cargo Weight:
435,32,Tire Pressure:
435,28.63,Frontal Area of Car:
54,65,Outside Temperature:
54,150,Total Passenger Weight:
54,150,Total Cargo Weight:
54,missing,Tire Pressure:
54,27.69,Frontal Area of Car:
17,80,Outside Temperature:
17,400,Total Passenger Weight:
17,0,Total Cargo Weight:
17,40,Tire Pressure:
17,29.28,Frontal Area of Car:
426,56,Outside Temperature:
426,150,Total Passenger Weight:
426,10,Total Cargo Weight:
426,32,Tire Pressure:
426,26.91,Frontal Area of Car:
684,60,Outside Temperature:
684,400,Total Passenger Weight:
684,0,Total Cargo Weight:
684,20,Tire Pressure:
684,29.28,Frontal Area of Car:
20,58,Outside Temperature:
20,150,Total Passenger Weight:
20,100,Total Cargo Weight:
20,missing,Tire Pressure:
20,26.81,Frontal Area of Car:
19,50,Outside Temperature:
19,150,Total Passenger Weight:
19,100,Total Cargo Weight:
19,missing,Tire Pressure:
19,28.63,Frontal Area of Car:
685,60,Outside Temperature:
685,400,Total Passenger Weight:
685,0,Total Cargo Weight:
685,20,Tire Pressure:
685,29.28,Frontal Area of Car:
425,56,Outside Temperature:
425,150,Total Passenger Weight:
425,10,Total Cargo Weight:
425,32,Tire Pressure:
425,26.91,Frontal Area of Car:
521,45,Outside Temperature:
521,400,Total Passenger Weight:
521,0,Total Cargo Weight:
521,missing,Tire Pressure:
521,29.28,Frontal Area of Car:
448,50,Outside Temperature:
448,150,Total Passenger Weight:
448,10,Total Cargo Weight:
448,32,Tire Pressure:
448,26.91,Frontal Area of Car:
24,52,Outside Temperature:
24,150,Total Passenger Weight:
24,100,Total Cargo Weight:
24,missing,Tire Pressure:
24,28.63,Frontal Area of Car:
424,44,Outside Temperature:
424,150,Total Passenger Weight:
424,15,Total Cargo Weight:
424,32,Tire Pressure:
424,26.91,Frontal Area of Car:
40,55,Outside Temperature:
40,150,Total Passenger Weight:
40,150,Total Cargo Weight:
40,missing,Tire Pressure:
40,27.69,Frontal Area of Car:
675,30,Outside Temperature:
675,200,Total Passenger Weight:
675,300,Total Cargo Weight:
675,40,Tire Pressure:
675,37.57,Frontal Area of Car:
468,48,Outside Temperature:
468,320,Total Passenger Weight:
468,5,Total Cargo Weight:
468,32,Tire Pressure:
468,26.91,Frontal Area of Car:
634,78,Outside Temperature:
634,135,Total Passenger Weight:
634,0,Total Cargo Weight:
634,30,Tire Pressure:
634,26.91,Frontal Area of Car:
430,54,Outside Temperature:
430,150,Total Passenger Weight:
430,10,Total Cargo Weight:
430,32,Tire Pressure:
430,26.91,Frontal Area of Car:
469,48,Outside Temperature:
469,320,Total Passenger Weight:
469,5,Total Cargo Weight:
469,32,Tire Pressure:
469,26.91,Frontal Area of Car:
49,60,Outside Temperature:
49,150,Total Passenger Weight:
49,150,Total Cargo Weight:
49,missing,Tire Pressure:
49,27.69,Frontal Area of Car:
18,85,Outside Temperature:
18,400,Total Passenger Weight:
18,0,Total Cargo Weight:
18,40,Tire Pressure:
18,29.28,Frontal Area of Car:
460,50,Outside Temperature:
460,320,Total Passenger Weight:
460,0,Total Cargo Weight:
460,32,Tire Pressure:
460,26.91,Frontal Area of Car:
436,60,Outside Temperature:
436,375,Total Passenger Weight:
436,0,Total Cargo Weight:
436,32,Tire Pressure:
436,28.63,Frontal Area of Car:
527,32,Outside Temperature:
527,146,Total Passenger Weight:
527,12,Total Cargo Weight:
527,missing,Tire Pressure:
527,29.28,Frontal Area of Car:
250,28,Outside Temperature:
250,146,Total Passenger Weight:
250,156,Total Cargo Weight:
250,missing,Tire Pressure:
250,29.28,Frontal Area of Car:
652,70,Outside Temperature:
652,160,Total Passenger Weight:
652,100,Total Cargo Weight:
652,32,Tire Pressure:
652,29.28,Frontal Area of Car:
662,52,Outside Temperature:
662,165,Total Passenger Weight:
662,100,Total Cargo Weight:
662,32,Tire Pressure:
662,29.28,Frontal Area of Car:
443,48,Outside Temperature:
443,175,Total Passenger Weight:
443,0,Total Cargo Weight:
443,missing,Tire Pressure:
443,29.28,Frontal Area of Car:
433,55,Outside Temperature:
433,150,Total Passenger Weight:
433,0,Total Cargo Weight:
433,32,Tire Pressure:
433,26.91,Frontal Area of Car:
445,55,Outside Temperature:
445,175,Total Passenger Weight:
445,0,Total Cargo Weight:
445,missing,Tire Pressure:
445,29.28,Frontal Area of Car:
434,55,Outside Temperature:
434,150,Total Passenger Weight:
434,0,Total Cargo Weight:
434,32,Tire Pressure:
434,26.91,Frontal Area of Car:
446,56,Outside Temperature:
446,225,Total Passenger Weight:
446,0,Total Cargo Weight:
446,missing,Tire Pressure:
446,28.63,Frontal Area of Car:
444,48,Outside Temperature:
444,175,Total Passenger Weight:
444,0,Total Cargo Weight:
444,missing,Tire Pressure:
444,29.28,Frontal Area of Car:
586,65,Outside Temperature:
586,180,Total Passenger Weight:
586,60,Total Cargo Weight:
586,32,Tire Pressure:
586,29.28,Frontal Area of Car:
447,48,Outside Temperature:
447,225,Total Passenger Weight:
447,0,Total Cargo Weight:
447,missing,Tire Pressure:
447,28.63,Frontal Area of Car:
654,64,Outside Temperature:
654,280,Total Passenger Weight:
654,10,Total Cargo Weight:
654,35,Tire Pressure:
654,18.3,Frontal Area of Car:
643,75,Outside Temperature:
643,259,Total Passenger Weight:
643,10,Total Cargo Weight:
643,35,Tire Pressure:
643,18.3,Frontal Area of Car:
454,72,Outside Temperature:
454,180,Total Passenger Weight:
454,60,Total Cargo Weight:
454,32,Tire Pressure:
454,30.03,Frontal Area of Car:
452,82,Outside Temperature:
452,180,Total Passenger Weight:
452,60,Total Cargo Weight:
452,32,Tire Pressure:
452,29.28,Frontal Area of Car:
93,85,Outside Temperature:
93,180,Total Passenger Weight:
93,60,Total Cargo Weight:
93,32,Tire Pressure:
93,29.28,Frontal Area of Car:
92,82,Outside Temperature:
92,180,Total Passenger Weight:
92,60,Total Cargo Weight:
92,32,Tire Pressure:
92,29.28,Frontal Area of Car:
659,64,Outside Temperature:
659,280,Total Passenger Weight:
659,10,Total Cargo Weight:
659,35,Tire Pressure:
659,18.3,Frontal Area of Car:
534,20,Outside Temperature:
534,170,Total Passenger Weight:
534,50,Total Cargo Weight:
534,32,Tire Pressure:
534,30.03,Frontal Area of Car:
657,75,Outside Temperature:
657,280,Total Passenger Weight:
657,10,Total Cargo Weight:
657,35,Tire Pressure:
657,18.3,Frontal Area of Car:
647,72,Outside Temperature:
647,154,Total Passenger Weight:
647,10,Total Cargo Weight:
647,35,Tire Pressure:
647,18.3,Frontal Area of Car:
656,75,Outside Temperature:
656,280,Total Passenger Weight:
656,10,Total Cargo Weight:
656,35,Tire Pressure:
656,18.3,Frontal Area of Car:
645,72,Outside Temperature:
645,154,Total Passenger Weight:
645,10,Total Cargo Weight:
645,35,Tire Pressure:
645,18.3,Frontal Area of Car:
644,70,Outside Temperature:
644,300,Total Passenger Weight:
644,5,Total Cargo Weight:
644,35,Tire Pressure:
644,18.3,Frontal Area of Car:
650,75,Outside Temperature:
650,280,Total Passenger Weight:
650,10,Total Cargo Weight:
650,35,Tire Pressure:
650,18.3,Frontal Area of Car:
658,64,Outside Temperature:
658,280,Total Passenger Weight:
658,10,Total Cargo Weight:
658,35,Tire Pressure:
658,18.3,Frontal Area of Car:
653,64,Outside Temperature:
653,280,Total Passenger Weight:
653,10,Total Cargo Weight:
653,35,Tire Pressure:
653,18.3,Frontal Area of Car:
649,77,Outside Temperature:
649,280,Total Passenger Weight:
649,10,Total Cargo Weight:
649,35,Tire Pressure:
649,18.3,Frontal Area of Car:
248,80,Outside Temperature:
248,165,Total Passenger Weight:
248,50,Total Cargo Weight:
248,missing,Tire Pressure:
248,26.91,Frontal Area of Car:
651,64,Outside Temperature:
651,154,Total Passenger Weight:
651,10,Total Cargo Weight:
651,35,Tire Pressure:
651,18.3,Frontal Area of Car:
660,64,Outside Temperature:
660,154,Total Passenger Weight:
660,10,Total Cargo Weight:
660,35,Tire Pressure:
660,18.3,Frontal Area of Car:
333,38,Outside Temperature:
333,155,Total Passenger Weight:
333,20,Total Cargo Weight:
333,44,Tire Pressure:
333,20.0,Frontal Area of Car:
373,49,Outside Temperature:
373,155,Total Passenger Weight:
373,10,Total Cargo Weight:
373,45,Tire Pressure:
373,41.87,Frontal Area of Car:
342,51,Outside Temperature:
342,155,Total Passenger Weight:
342,25,Total Cargo Weight:
342,44,Tire Pressure:
342,20.0,Frontal Area of Car:
484,51,Outside Temperature:
484,176,Total Passenger Weight:
484,132,Total Cargo Weight:
484,missing,Tire Pressure:
484,28.63,Frontal Area of Car:
253,35,Outside Temperature:
253,163,Total Passenger Weight:
253,5,Total Cargo Weight:
253,missing,Tire Pressure:
253,29.28,Frontal Area of Car:
490,50,Outside Temperature:
490,182,Total Passenger Weight:
490,0,Total Cargo Weight:
490,missing,Tire Pressure:
490,28.63,Frontal Area of Car:
291,60,Outside Temperature:
291,215,Total Passenger Weight:
291,0,Total Cargo Weight:
291,32,Tire Pressure:
291,41.87,Frontal Area of Car:
486,48,Outside Temperature:
486,165,Total Passenger Weight:
486,0,Total Cargo Weight:
486,missing,Tire Pressure:
486,28.63,Frontal Area of Car:
487,50,Outside Temperature:
487,201,Total Passenger Weight:
487,0,Total Cargo Weight:
487,missing,Tire Pressure:
487,28.63,Frontal Area of Car:
538,36,Outside Temperature:
538,301,Total Passenger Weight:
538,98,Total Cargo Weight:
538,missing,Tire Pressure:
538,28.63,Frontal Area of Car:
477,45,Outside Temperature:
477,176,Total Passenger Weight:
477,110,Total Cargo Weight:
477,missing,Tire Pressure:
477,28.63,Frontal Area of Car:
539,33,Outside Temperature:
539,297,Total Passenger Weight:
539,57,Total Cargo Weight:
539,missing,Tire Pressure:
539,28.63,Frontal Area of Car:
536,47,Outside Temperature:
536,329,Total Passenger Weight:
536,109,Total Cargo Weight:
536,missing,Tire Pressure:
536,28.63,Frontal Area of Car:
537,50,Outside Temperature:
537,290,Total Passenger Weight:
537,50,Total Cargo Weight:
537,missing,Tire Pressure:
537,28.63,Frontal Area of Car:
617,48,Outside Temperature:
617,353,Total Passenger Weight:
617,132,Total Cargo Weight:
617,missing,Tire Pressure:
617,28.63,Frontal Area of Car:
540,40,Outside Temperature:
540,230,Total Passenger Weight:
540,60,Total Cargo Weight:
540,missing,Tire Pressure:
